Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Target
1,11,1,33,1,7,154.1,1,26,18,8,2,162.0,0,0,0,1,0,0,20,0,0,6,9,4,11.43,0,0,6,8,6,16.44,0,6.1,2.2,1.16,Graduate
1,14,4,171,1,11,176.4,1,5,22,7,1,158.0,1,0,0,1,0,1,19,0,0,6,8,4,15.37,0,0,6,9,4,16.34,0,4.5,0.9,-1.39,Graduate
1,12,1,9070,1,14,140.9,1,4,1,7,12,139.1,1,0,1,0,1,0,19,0,0,6,9,2,11.17,0,0,6,9,1,11.43,0,7.8,3.1,0.64,Dropout
1,17,6,9500,1,10,163.8,1,8,18,3,8,101.3,1,0,0,1,0,1,18,0,0,6,9,6,12.51,0,0,6,6,6,14.01,0,9.3,2.0,0.86,Enrolled
1,9,4,9853,1,12,118.8,1,24,14,4,11,144.1,1,0,0,1,0,0,20,0,0,6,6,6,16.36,0,0,6,9,5,13.62,0,6.2,1.6,-0.27,Enrolled
1,14,1,9130,1,5,156.0,1,29,3,5,2,181.8,1,0,0,1,1,0,26,0,0,6,7,1,10.58,0,0,6,8,0,0,0,10.0,0.6,0.87,Dropout
1,6,1,9147,1,6,110.3,1,11,27,6,8,148.5,1,0,0,1,1,0,23,0,0,6,8,6,16.72,0,0,6,6,6,15.5,0,9.6,3.0,-0.58,Graduate
1,6,2,33,1,13,180.5,1,10,12,5,8,177.7,0,0,1,1,0,0,21,0,0,6,8,4,10.09,0,0,6,7,4,12.68,0,8.6,1.5,0.17,Enrolled
1,2,3,9147,1,15,180.6,1,4,16,3,5,122.1,0,0,0,1,0,1,20,0,0,6,6,4,14.54,0,0,6,9,4,10.72,0,6.1,2.3,0.72,Enrolled
1,12,4,9003,1,11,107.9,1,26,4,10,9,128.6,0,0,0,1,1,0,18,0,0,6,9,6,13.61,0,0,6,9,4,14.89,0,8.0,0.8,1.28,Graduate
1,5,1,171,0,15,150.0,1,24,9,1,10,141.9,1,0,0,1,1,0,19,0,0,6,8,5,15.55,0,0,6,7,4,14.22,0,10.9,1.6,0.97,Graduate
1,10,4,9853,1,8,124.4,1,20,22,10,1,124.9,1,0,0,1,1,1,23,0,0,6,9,6,15.18,0,0,6,7,6,12.37,0,11.1,1.6,-0.01,Graduate
1,8,1,9500,1,8,109.5,1,16,10,6,5,186.6,1,0,0,1,1,0,20,0,0,6,7,3,12.59,0,0,6,9,0,0,0,11.4,2.7,0.53,Dropout
1,17,6,9991,1,14,113.7,1,27,12,2,5,142.9,1,0,0,1,0,0,23,0,0,6,8,4,10.6,0,0,6,7,5,10.39,0,10.0,3.0,-0.47,Graduate
1,17,5,9238,1,1,116.3,1,6,25,11,4,148.1,1,0,0,1,1,0,23,0,0,6,9,4,14.27,0,0,6,9,4,11.94,0,3.9,2.3,-0.17,Enrolled
1,2,6,9254,1,3,129.8,1,4,26,10,9,145.0,0,1,0,1,0,0,18,0,0,6,9,6,11.59,0,0,6,6,5,15.53,0,11.1,2.1,-0.61,Graduate
1,2,3,9670,1,14,144.2,1,26,3,2,11,145.0,0,0,0,1,0,1,22,0,0,6,9,4,16.78,0,0,6,7,5,15.26,0,8.3,2.3,0.39,Enrolled
1,8,2,9085,1,3,173.8,1,25,13,3,6,181.1,1,0,1,0,0,1,27,0,0,6,9,3,10.89,0,0,6,9,1,10.04,0,6.1,1.8,2.16,Dropout
1,16,1,9238,1,4,122.3,1,9,13,11,3,175.1,1,0,0,0,0,0,23,0,0,6,6,2,12.28,0,0,6,9,0,0,0,6.0,1.3,-1.54,Dropout
1,3,5,9070,0,1,167.0,1,29,19,2,3,167.5,1,0,1,1,0,0,29,0,0,6,7,0,0,0,0,6,8,0,0,0,10.7,1.5,-0.42,Dropout
1,4,1,9003,1,6,155.8,1,19,9,4,10,107.6,0,0,0,1,0,0,20,0,0,6,6,6,15.14,0,0,6,6,5,10.5,0,10.2,2.4,-1.09,Graduate
1,18,2,9853,1,2,103.1,1,6,21,5,9,183.1,0,0,0,1,1,1,22,0,0,6,9,4,15.52,0,0,6,6,6,12.73,0,7.6,2.0,0.67,Graduate
1,2,5,9500,1,12,120.8,1,19,6,8,11,169.5,1,0,0,1,1,0,22,0,0,6,8,5,15.39,0,0,6,9,4,10.09,0,11.0,0.9,0.53,Graduate
1,1,3,9238,1,3,104.0,1,17,26,7,12,177.3,0,0,1,1,0,0,19,0,0,6,7,1,11.01,0,0,6,7,0,0,0,7.2,2.4,-0.47,Dropout
1,4,2,9500,1,13,158.3,1,11,15,4,10,133.9,1,0,1,1,1,0,25,0,0,6,7,1,11.65,0,0,6,9,0,0,0,3.6,3.1,-1.55,Dropout
1,11,5,9991,1,13,115.0,1,24,1,5,11,158.5,1,0,1,0,1,1,25,0,0,6,9,0,0,0,0,6,7,0,0,0,7.7,3.4,-0.16,Dropout
1,15,5,9130,1,13,128.3,1,11,22,6,12,119.8,0,0,1,1,0,0,21,0,0,6,9,2,11.77,0,0,6,8,2,10.6,0,10.6,0.7,1.15,Dropout
1,17,3,9147,0,12,142.5,1,23,1,9,12,166.9,1,0,1,1,0,1,21,0,0,6,7,4,15.75,0,0,6,7,6,10.31,0,8.5,2.7,0.10,Graduate
1,5,2,9119,1,1,172.6,1,2,28,10,11,147.9,0,0,0,1,0,1,20,0,0,6,7,4,16.85,0,0,6,8,6,11.17,0,8.3,2.9,0.27,Graduate
1,17,2,9147,1,1,137.8,1,29,27,9,3,156.7,0,0,0,1,1,0,22,0,0,6,6,4,12.72,0,0,6,9,5,14.31,0,10.8,2.2,1.92,Enrolled
1,15,6,9147,1,9,106.1,1,9,9,5,3,183.3,1,0,0,1,0,0,21,0,0,6,8,1,12.51,0,0,6,7,0,0,0,10.0,1.2,-1.57,Dropout
1,13,1,9991,1,15,132.7,1,9,20,5,2,145.7,0,0,0,1,1,0,20,0,0,6,8,4,13.35,0,0,6,9,5,13.74,0,10.0,3.2,0.26,Graduate
1,15,3,9130,1,12,146.8,1,13,23,3,8,123.6,1,0,1,1,1,0,20,0,0,6,9,5,10.64,0,0,6,8,4,13.36,0,8.9,2.5,0.43,Graduate
1,16,6,9670,1,10,109.3,1,19,11,5,12,186.7,0,0,0,1,0,0,20,0,0,6,6,4,12.5,0,0,6,6,4,12.57,0,5.0,2.6,0.11,Enrolled
1,12,6,9556,1,4,153.8,1,16,10,2,5,165.2,0,0,0,1,1,0,22,0,0,6,9,4,14.39,0,0,6,9,5,13.41,0,10.2,2.2,0.89,Enrolled
1,4,1,9254,1,10,183.9,1,29,9,5,10,178.7,1,0,1,0,1,0,28,0,0,6,9,1,12.58,0,0,6,6,2,12.63,0,9.3,1.8,0.86,Dropout
1,5,3,9991,1,13,155.9,1,11,1,5,10,121.1,0,0,0,1,0,0,23,0,0,6,7,4,15.6,0,0,6,8,6,11.26,0,4.8,0.5,-1.48,Graduate
1,4,4,9773,1,1,167.3,1,13,29,12,3,105.5,0,0,0,1,1,1,20,0,0,6,6,4,11.52,0,0,6,7,4,15.97,0,4.1,2.4,0.85,Enrolled
1,7,4,171,1,15,124.0,1,14,21,4,8,183.3,0,0,0,1,1,0,22,0,0,6,9,6,11.18,0,0,6,8,4,14.9,0,5.8,0.8,-0.78,Graduate
1,16,5,9147,1,9,174.3,1,29,26,5,12,173.1,1,0,0,1,0,1,23,0,0,6,7,6,14.47,0,0,6,6,4,10.83,0,6.4,2.7,-0.30,Graduate
1,8,4,8014,1,5,149.8,1,27,9,12,5,155.8,0,0,0,1,1,0,23,0,0,6,9,4,16.91,0,0,6,8,6,15.1,0,9.7,2.5,1.04,Enrolled
1,10,1,9773,1,1,174.5,1,20,27,3,2,130.2,1,0,0,1,0,0,27,0,0,6,6,3,11.97,0,0,6,9,2,12.85,0,9.7,0.7,-0.17,Dropout
1,8,5,9500,1,14,188.8,1,4,5,5,3,162.0,1,0,0,1,0,0,18,0,0,6,8,5,13.53,0,0,6,8,6,11.11,0,5.3,3.2,1.65,Graduate
1,14,2,9500,1,1,115.8,1,23,10,12,7,167.8,1,0,0,1,0,0,23,0,0,6,8,4,16.22,0,0,6,8,6,12.17,0,11.3,2.2,1.44,Enrolled
1,1,3,9119,1,8,110.7,1,3,23,7,5,155.8,0,0,1,1,0,0,28,0,0,6,8,1,12.9,0,0,6,8,0,0,0,4.2,1.7,0.65,Dropout
1,14,5,33,1,15,150.5,1,17,4,4,12,114.4,1,0,0,1,1,0,23,0,0,6,9,5,13.32,0,0,6,6,5,12.68,0,7.1,2.6,0.58,Graduate
1,10,3,171,0,15,105.7,1,12,17,5,4,165.3,1,0,0,1,0,0,20,0,0,6,7,6,16.82,0,0,6,7,5,16.7,0,11.2,2.9,2.11,Graduate
1,3,4,9773,1,11,101.0,1,8,5,3,5,104.5,1,1,0,1,0,1,21,0,0,6,8,5,13.61,0,0,6,8,5,15.12,0,7.9,2.9,1.40,Enrolled
1,7,4,8014,1,3,175.9,1,27,5,5,11,124.7,0,0,0,1,1,1,18,0,0,6,6,6,11.28,0,0,6,8,4,10.44,0,7.3,1.1,1.33,Graduate
1,7,1,9991,1,7,132.8,1,27,28,2,5,146.5,0,0,0,1,1,0,18,0,0,6,9,5,14.81,0,0,6,7,4,15.43,0,7.5,2.5,0.82,Enrolled
1,14,4,9500,1,1,155.4,1,20,15,10,4,130.9,1,0,0,1,1,0,20,0,0,6,8,6,10.79,0,0,6,9,4,13.61,0,5.1,1.4,2.27,Graduate
1,6,6,9070,1,14,174.3,1,10,16,10,12,186.1,1,0,0,1,1,0,22,0,0,6,6,4,13.02,0,0,6,9,6,13.39,0,9.4,2.7,1.67,Graduate
1,16,6,9147,1,11,166.2,1,13,12,7,5,141.7,1,0,0,1,1,0,20,0,0,6,8,4,11.46,0,0,6,9,4,11.96,0,5.8,1.2,0.31,Enrolled
1,7,2,9130,1,11,115.0,1,14,7,3,12,177.6,1,0,0,1,0,0,19,0,0,6,7,4,10.52,0,0,6,8,5,12.8,0,5.3,1.9,-1.03,Enrolled
1,12,4,9085,1,14,171.8,1,19,26,8,3,187.4,1,0,1,1,0,0,29,0,0,6,7,0,0,0,0,6,7,1,10.19,0,10.1,0.7,-0.71,Dropout
1,8,6,9254,1,6,181.0,1,2,20,8,8,109.3,1,0,0,1,0,0,18,0,0,6,6,2,11.12,0,0,6,8,1,10.68,0,8.4,0.7,0.50,Dropout
1,13,3,9130,0,7,167.4,1,20,18,11,11,128.9,0,0,1,1,1,0,28,0,0,6,8,1,12.67,0,0,6,6,2,10.92,0,6.7,0.9,1.75,Dropout
1,9,1,9070,1,10,176.3,1,6,26,8,7,122.3,0,0,1,1,0,0,20,0,0,6,8,0,0,0,0,6,6,1,12.75,0,9.5,1.0,-0.92,Dropout
1,10,3,9130,1,1,180.3,1,7,26,12,8,156.8,0,0,1,1,1,0,25,0,0,6,9,0,0,0,0,6,9,0,0,0,11.2,1.4,0.89,Dropout
1,17,5,9670,0,7,180.9,1,27,12,7,4,124.8,0,0,0,1,0,0,22,0,0,6,6,5,14.92,0,0,6,9,4,12.49,0,5.2,1.2,0.21,Graduate
2,9,4,9130,1,12,135.2,1,25,24,1,4,120.7,0,0,1,1,0,0,25,0,0,6,8,0,0,0,0,6,9,1,12.6,0,11.5,2.1,1.69,Dropout
2,5,2,9119,1,10,170.1,1,14,28,7,12,134.1,1,0,0,1,0,0,18,0,0,6,6,5,12.59,0,0,6,7,4,14.13,0,10.5,3.1,0.23,Graduate
1,11,6,9556,1,3,127.7,1,16,7,10,1,147.6,1,0,0,1,0,1,23,0,0,6,7,5,14.49,0,0,6,8,6,11.43,0,7.0,0.7,2.06,Enrolled
1,4,6,9070,1,8,114.9,1,2,14,7,11,139.2,0,0,1,1,0,1,28,0,0,6,6,3,10.29,0,0,6,8,2,11.66,0,6.3,0.8,-0.23,Dropout
1,1,1,9147,1,4,116.4,1,4,23,8,11,174.2,1,0,1,0,1,0,26,0,0,6,9,3,11.44,0,0,6,6,2,10.6,0,6.3,1.1,-0.27,Dropout
1,3,1,33,1,5,164.3,1,18,11,6,7,138.5,1,0,1,1,0,0,28,0,0,6,8,2,12.72,0,0,6,6,1,11.63,0,9.1,1.8,1.41,Dropout
1,13,1,9556,1,6,147.2,1,13,23,9,3,120.6,0,0,0,1,0,0,28,0,0,6,9,1,10.82,0,0,6,8,1,11.89,0,8.2,1.3,-1.47,Dropout
1,7,3,9003,0,3,137.0,1,6,13,7,12,144.1,0,0,1,0,1,0,23,0,0,6,7,0,0,0,0,6,9,2,12.65,0,11.1,1.5,0.70,Dropout
2,1,1,9670,0,9,130.6,1,24,2,11,12,106.2,1,0,0,1,0,0,23,0,0,6,8,4,12.65,0,0,6,6,5,13.59,0,10.7,1.4,-0.05,Graduate
1,4,5,33,1,3,152.2,1,22,28,4,9,148.7,0,0,0,1,0,0,22,0,0,6,6,5,14.53,0,0,6,6,6,10.56,0,8.0,1.2,-1.33,Graduate
1,9,2,9556,1,13,143.8,1,27,28,8,7,109.2,0,0,1,1,0,0,27,0,0,6,6,1,12.79,0,0,6,9,1,12.38,0,9.4,2.2,0.76,Dropout
1,14,2,9147,1,6,170.3,1,22,18,11,2,169.2,0,0,0,1,0,1,19,0,0,6,6,4,10.84,0,0,6,7,4,10.77,0,9.6,1.4,-1.44,Graduate
1,11,6,8014,0,7,163.0,1,12,1,7,1,185.5,1,0,0,1,0,1,23,0,0,6,9,5,11.67,0,0,6,7,5,15.81,0,11.0,2.4,-1.50,Graduate
1,8,6,9003,1,11,113.8,1,6,13,11,11,120.4,0,0,0,1,0,0,22,0,0,6,8,4,10.7,0,0,6,8,4,10.6,0,4.4,2.2,0.16,Graduate
1,14,4,9147,1,2,158.6,1,28,14,4,3,164.4,0,0,1,1,0,0,21,0,0,6,8,5,12.02,0,0,6,9,5,15.81,0,9.3,2.1,0.29,Graduate
1,3,2,9238,1,13,116.2,1,13,12,8,2,110.0,0,0,0,1,1,1,22,0,0,6,7,5,15.36,0,0,6,8,5,12.95,0,4.4,2.9,0.94,Enrolled
1,16,3,9147,1,6,110.3,1,14,21,9,6,123.7,1,0,0,1,0,0,20,0,0,6,9,6,11.44,0,0,6,9,4,15.75,0,11.3,2.1,2.29,Graduate
1,10,3,9070,1,11,151.0,1,26,15,6,5,133.5,1,0,0,1,0,0,23,0,0,6,7,4,10.81,0,0,6,8,6,11.69,0,5.8,1.5,0.92,Graduate
1,9,6,9773,1,3,111.4,1,21,8,8,6,135.6,0,0,0,1,0,0,18,0,0,6,7,5,13.58,0,0,6,7,4,11.46,0,5.8,1.5,-0.04,Enrolled
1,4,6,9070,1,6,110.7,1,14,24,1,8,182.9,1,0,0,1,0,1,18,0,0,6,6,6,15.2,0,0,6,9,4,14.17,0,11.5,2.5,-0.01,Graduate
1,4,4,9991,1,12,123.8,1,4,2,3,7,136.5,1,0,0,0,1,0,26,0,0,6,8,1,10.6,0,0,6,8,1,10.26,0,6.2,0.6,1.95,Dropout
1,18,4,9085,1,9,135.3,1,20,24,4,2,112.1,1,0,0,1,0,1,21,0,0,6,7,5,14.22,0,0,6,7,4,16.14,0,8.5,1.7,-0.28,Graduate
1,18,4,9238,1,9,107.2,1,10,7,4,9,164.3,1,0,1,1,0,0,19,0,0,6,8,0,0,0,0,6,6,1,10.36,0,11.4,2.5,1.07,Dropout
1,9,4,9254,0,10,142.7,1,4,12,8,7,162.0,0,0,1,0,0,0,29,0,0,6,6,3,10.89,0,0,6,8,1,10.26,0,9.5,0.5,0.20,Dropout
1,1,2,8014,1,6,182.6,1,1,27,4,10,174.7,0,0,0,1,0,0,20,0,0,6,7,4,12.42,0,0,6,7,6,10.85,0,4.3,1.6,-0.10,Enrolled
1,10,6,9853,1,2,147.5,1,3,11,7,12,149.8,1,0,1,1,1,1,19,0,0,6,6,3,10.2,0,0,6,9,1,11.4,0,6.1,0.8,1.54,Dropout
1,7,3,9003,1,13,123.4,1,16,20,10,4,103.9,0,0,0,1,1,0,20,0,0,6,7,6,13.46,0,0,6,8,5,12.89,0,5.9,3.1,-0.01,Graduate
1,7,1,9085,1,1,108.4,1,1,27,12,2,158.3,1,0,1,0,0,0,18,0,0,6,8,3,12.24,0,0,6,9,2,11.43,0,5.4,2.0,0.28,Dropout
1,15,1,9085,1,9,130.5,1,26,19,7,7,177.0,1,0,0,1,0,0,18,0,0,6,9,4,11.95,0,0,6,8,4,16.11,0,8.1,1.6,0.59,Enrolled
1,14,6,33,1,12,112.9,1,10,14,10,4,123.8,1,0,1,1,0,0,29,0,0,6,9,1,10.06,0,0,6,7,2,12.67,0,7.9,2.1,-1.41,Dropout
1,7,1,9991,1,2,163.3,1,25,17,5,2,162.0,1,0,0,1,1,0,27,0,0,6,6,0,0,0,0,6,9,2,10.86,0,3.9,3.2,2.08,Dropout
1,15,3,9853,1,10,181.1,1,24,17,2,11,102.7,1,0,1,1,0,0,19,0,0,6,7,6,11.23,0,0,6,7,4,14.97,0,6.5,2.7,-0.37,Graduate
1,3,2,9556,0,4,104.2,1,18,23,4,1,105.1,1,0,0,1,1,0,21,0,0,6,9,6,14.31,0,0,6,7,6,10.84,0,4.4,2.7,-0.68,Graduate
1,11,5,9085,1,4,114.0,1,13,20,10,4,167.7,0,0,0,1,0,1,18,0,0,6,6,4,16.48,0,0,6,8,4,12.83,0,6.5,2.8,1.33,Graduate
1,3,1,171,0,6,182.0,1,9,14,5,1,138.2,1,0,0,1,0,0,23,0,0,6,6,5,16.15,0,0,6,9,6,15.19,0,8.4,1.9,-0.77,Graduate
1,2,2,9991,1,5,167.4,1,12,22,1,7,165.6,1,0,0,0,0,1,19,0,0,6,8,3,11.86,0,0,6,6,2,11.63,0,5.6,1.1,1.15,Dropout
1,7,2,9130,1,13,145.9,1,7,15,1,11,113.3,0,0,0,1,1,1,23,0,0,6,9,4,13.91,0,0,6,9,6,15.03,0,4.6,1.7,-1.24,Graduate
1,9,3,171,1,13,170.2,1,26,23,5,12,122.2,1,0,0,1,0,0,20,0,0,6,8,4,13.9,0,0,6,9,6,15.57,0,5.8,0.5,0.90,Graduate
1,8,4,9085,0,6,142.2,1,10,29,2,8,169.0,1,0,1,0,0,0,19,0,0,6,7,1,12.61,0,0,6,8,0,0,0,4.0,1.4,1.68,Dropout
1,12,6,9853,1,12,134.1,1,10,1,9,3,117.8,0,0,1,0,0,0,24,0,0,6,6,3,11.29,0,0,6,7,2,10.79,0,7.9,1.8,-0.19,Dropout
2,2,6,9500,1,15,116.0,1,22,18,10,11,187.1,1,0,0,1,1,0,21,0,0,6,7,4,11.78,0,0,6,7,6,14.91,0,6.1,2.3,1.24,Graduate
1,4,5,9773,1,9,115.4,1,17,28,4,8,119.1,1,0,0,1,1,1,21,0,0,6,7,5,14.04,0,0,6,9,4,12.43,0,8.4,1.4,2.30,Graduate
1,13,6,9773,1,5,125.4,1,23,15,12,9,132.3,1,0,1,1,1,1,19,0,0,6,9,6,14.27,0,0,6,9,4,10.63,0,4.9,0.6,0.37,Graduate
1,11,5,9003,1,3,139.5,1,20,29,6,2,109.2,0,0,0,0,0,0,29,0,0,6,8,3,10.59,0,0,6,9,2,12.6,0,9.3,2.0,-0.34,Dropout
1,11,1,9254,1,3,140.4,1,19,4,10,8,158.3,0,0,0,1,1,0,19,0,0,6,9,4,16.74,0,0,6,9,4,16.56,0,9.8,3.3,0.35,Graduate
1,8,3,9147,0,12,105.0,1,15,13,8,10,121.4,1,0,1,1,0,1,21,0,0,6,6,5,15.24,0,0,6,6,4,11.02,0,8.1,0.8,1.74,Enrolled
1,6,4,9500,1,4,141.5,1,9,26,6,10,102.9,0,0,0,1,1,0,23,0,0,6,6,2,10.19,0,0,6,8,0,0,0,8.8,2.8,-1.58,Dropout
1,4,3,171,1,7,107.4,1,21,20,11,8,144.5,1,0,0,1,0,1,18,0,0,6,9,4,12.73,0,0,6,7,5,14.49,0,3.7,2.5,1.38,Graduate
1,17,2,171,1,13,154.6,1,12,21,2,2,160.7,1,0,0,1,1,0,21,0,0,6,7,6,16.59,0,0,6,9,5,12.15,0,8.8,3.0,1.24,Graduate
2,13,1,8014,1,15,121.5,1,24,12,12,8,140.8,1,0,0,1,1,1,21,0,0,6,9,5,11.9,0,0,6,6,6,13.08,0,7.6,1.2,-0.49,Graduate
1,6,5,9500,0,1,176.1,1,2,11,8,6,113.1,1,0,1,1,1,0,26,0,0,6,6,3,12.11,0,0,6,9,1,12.49,0,4.9,1.5,0.88,Dropout
1,2,6,9991,1,8,175.1,1,29,15,11,3,157.1,1,0,0,1,0,0,18,0,0,6,6,5,10.33,0,0,6,8,5,15.61,0,7.5,1.0,0.82,Graduate
1,4,5,9254,1,3,180.5,1,14,23,9,9,169.4,0,0,0,1,1,0,20,0,0,6,7,4,13.49,0,0,6,8,5,13.5,0,3.9,1.4,-0.43,Graduate
2,11,2,9500,1,5,168.7,1,6,3,7,6,115.9,0,0,0,0,1,0,24,0,0,6,9,0,0,0,0,6,9,1,10.88,0,3.7,1.0,-1.22,Dropout
1,5,5,8014,1,11,173.6,1,8,23,6,8,165.1,1,0,0,1,0,1,22,0,0,6,6,5,14.58,0,0,6,8,6,12.61,0,6.2,0.6,2.08,Graduate
1,11,2,9119,1,4,133.7,1,25,24,5,10,169.9,0,0,0,1,1,0,20,0,0,6,8,4,13.87,0,0,6,7,4,15.74,0,6.9,0.6,0.76,Graduate
1,10,5,9147,1,4,149.6,1,19,13,9,2,139.5,1,0,0,1,0,1,22,0,0,6,8,6,15.48,0,0,6,7,4,10.65,0,11.5,1.4,-1.45,Graduate
1,15,5,9254,1,15,146.2,1,10,21,11,5,126.1,1,0,0,1,1,0,22,0,0,6,7,5,16.36,0,0,6,9,5,13.14,0,4.2,3.1,0.12,Enrolled
1,6,5,9238,1,4,109.1,1,2,9,8,8,179.8,1,0,1,0,1,0,27,0,0,6,9,2,11.69,0,0,6,9,0,0,0,4.5,1.6,1.59,Dropout
2,17,6,9670,1,15,174.4,1,1,19,5,4,145.1,0,0,0,1,1,0,20,0,0,6,8,4,12.53,0,0,6,8,6,12.61,0,3.9,0.5,0.30,Graduate
1,8,5,9500,0,10,185.0,1,24,23,4,10,118.5,0,0,0,0,0,0,27,0,0,6,6,1,10.3,0,0,6,7,1,11.06,0,8.3,3.0,-1.51,Dropout
1,16,3,9070,1,1,149.0,1,6,13,12,12,127.3,0,0,0,1,1,0,22,0,0,6,6,5,13.57,0,0,6,7,5,10.81,0,7.7,1.6,0.89,Graduate
1,17,3,9147,1,2,119.8,1,10,5,4,2,115.9,1,0,0,1,0,1,18,0,0,6,7,5,14.85,0,0,6,6,4,15.42,0,8.0,1.8,-0.64,Graduate
1,18,4,9500,1,14,145.4,1,25,1,2,8,186.6,0,0,0,1,0,1,21,0,0,6,8,5,15.52,0,0,6,9,5,10.6,0,11.1,1.5,-0.50,Enrolled
1,4,3,9853,1,10,144.7,1,28,6,10,6,120.4,1,0,0,1,0,1,21,0,0,6,7,6,14.48,0,0,6,6,5,12.07,0,8.6,1.9,-1.12,Graduate
2,13,5,9003,1,3,166.0,1,11,17,4,9,130.8,1,0,0,1,0,0,23,0,0,6,6,6,12.27,0,0,6,9,5,12.54,0,6.2,1.1,1.77,Enrolled
1,7,2,171,0,12,112.5,1,28,6,3,10,133.3,1,0,0,1,0,1,22,0,0,6,7,5,15.88,0,0,6,8,4,14.88,0,7.2,2.5,1.27,Graduate
1,2,4,9070,1,4,150.0,1,7,24,2,3,164.9,1,0,1,0,0,0,28,0,0,6,9,3,12.19,0,0,6,9,0,0,0,8.2,3.2,1.88,Dropout
1,5,1,9070,1,1,102.1,1,8,24,9,4,175.9,1,0,0,1,1,0,23,0,0,6,8,4,13.36,0,0,6,6,6,16.52,0,10.5,3.0,0.12,Enrolled
1,4,6,9853,1,11,130.1,1,19,13,12,7,173.5,0,0,1,0,1,0,21,0,0,6,7,1,12.56,0,0,6,6,1,11.79,0,8.0,0.7,-1.66,Dropout
1,12,1,8014,0,12,110.4,1,3,12,12,9,172.5,1,0,0,1,1,0,20,0,0,6,6,1,12.84,0,0,6,8,2,11.49,0,6.2,2.9,2.02,Dropout
1,16,2,9119,1,15,112.2,1,4,10,7,4,154.2,1,0,0,1,0,0,22,0,0,6,8,6,13.59,0,0,6,8,4,13.36,0,9.4,2.9,0.39,Enrolled
1,3,1,9147,1,5,164.6,1,29,27,1,7,128.2,0,0,1,0,0,0,18,0,0,6,6,0,0,0,0,6,7,0,0,0,3.8,2.0,-0.22,Dropout
