marital_status,application_mode,course,tuition_fees_up_to_date,scholarship_holder,debtor,age_at_enrollment,curricular_units_1st_sem_approved,curricular_units_1st_sem_grade,curricular_units_2nd_sem_approved,curricular_units_2nd_sem_grade,admission_grade,unemployment_rate,inflation_rate,gdp,target_binary,target_multiclass,target_raw
1,2,9254,1,0,0,18,6,11.59,5,15.53,145,11.1,2.1,-0.61,0,2,Graduate
1,2,9670,1,1,0,22,4,16.78,5,15.26,145,8.3,2.3,0.39,0,1,Enrolled
1,8,9085,0,1,1,27,3,10.89,1,10.04,181.1,6.1,1.8,2.16,1,0,Dropout
1,16,9238,0,0,0,23,2,12.28,0,0,175.1,6,1.3,-1.54,1,0,Dropout
1,3,9070,1,0,1,29,0,0,0,0,167.5,10.7,1.5,-0.42,1,0,Dropout
1,4,9003,1,0,0,20,6,15.14,5,10.5,107.6,10.2,2.4,-1.09,0,2,Graduate
1,18,9853,1,1,0,22,4,15.52,6,12.73,183.1,7.6,2,0.67,0,2,Graduate
1,2,9500,1,0,0,22,5,15.39,4,10.09,169.5,11,0.9,0.53,0,2,Graduate
1,1,9238,1,0,1,19,1,11.01,0,0,177.3,7.2,2.4,-0.47,1,0,Dropout
1,4,9500,1,0,1,25,1,11.65,0,0,133.9,3.6,3.1,-1.55,1,0,Dropout
1,11,9991,0,1,1,25,0,0,0,0,158.5,7.7,3.4,-0.16,1,0,Dropout
1,15,9130,1,0,1,21,2,11.77,2,10.6,119.8,10.6,0.7,1.15,1,0,Dropout
1,17,9147,1,1,1,21,4,15.75,6,10.31,166.9,8.5,2.7,0.1,0,2,Graduate
1,5,9119,1,1,0,20,4,16.85,6,11.17,147.9,8.3,2.9,0.27,0,2,Graduate
1,17,9147,1,0,0,22,4,12.72,5,14.31,156.7,10.8,2.2,1.92,0,1,Enrolled
1,15,9147,1,0,0,21,1,12.51,0,0,183.3,10,1.2,-1.57,1,0,Dropout
1,13,9991,1,0,0,20,4,13.35,5,13.74,145.7,10,3.2,0.26,0,2,Graduate
1,15,9130,1,0,1,20,5,10.64,4,13.36,123.6,8.9,2.5,0.43,0,2,Graduate
1,16,9670,1,0,0,20,4,12.5,4,12.57,186.7,5,2.6,0.11,0,1,Enrolled
1,12,9556,1,0,0,22,4,14.39,5,13.41,165.2,10.2,2.2,0.89,0,1,Enrolled
1,4,9254,0,0,1,28,1,12.58,2,12.63,178.7,9.3,1.8,0.86,1,0,Dropout
1,5,9991,1,0,0,23,4,15.6,6,11.26,121.1,4.8,0.5,-1.48,0,2,Graduate
1,4,9773,1,1,0,20,4,11.52,4,15.97,105.5,4.1,2.4,0.85,0,1,Enrolled
1,7,171,1,0,0,22,6,11.18,4,14.9,183.3,5.8,0.8,-0.78,0,2,Graduate
1,16,9147,1,1,0,23,6,14.47,4,10.83,173.1,6.4,2.7,-0.3,0,2,Graduate
1,8,8014,1,0,0,23,4,16.91,6,15.1,155.8,9.7,2.5,1.04,0,1,Enrolled
1,10,9773,1,0,0,27,3,11.97,2,12.85,130.2,9.7,0.7,-0.17,1,0,Dropout
1,8,9500,1,0,0,18,5,13.53,6,11.11,162,5.3,3.2,1.65,0,2,Graduate
1,14,9500,1,0,0,23,4,16.22,6,12.17,167.8,11.3,2.2,1.44,0,1,Enrolled
1,1,9119,1,0,1,28,1,12.9,0,0,155.8,4.2,1.7,0.65,1,0,Dropout
1,14,33,1,0,0,23,5,13.32,5,12.68,114.4,7.1,2.6,0.58,0,2,Graduate
1,10,171,1,0,0,20,6,16.82,5,16.7,165.3,11.2,2.9,2.11,0,2,Graduate
1,3,9773,1,1,0,21,5,13.61,5,15.12,104.5,7.9,2.9,1.4,0,1,Enrolled
1,7,8014,1,1,0,18,6,11.28,4,10.44,124.7,7.3,1.1,1.33,0,2,Graduate
1,7,9991,1,0,0,18,5,14.81,4,15.43,146.5,7.5,2.5,0.82,0,1,Enrolled
1,14,9500,1,0,0,20,6,10.79,4,13.61,130.9,5.1,1.4,2.27,0,2,Graduate
1,6,9070,1,0,0,22,4,13.02,6,13.39,186.1,9.4,2.7,1.67,0,2,Graduate
1,16,9147,1,0,0,20,4,11.46,4,11.96,141.7,5.8,1.2,0.31,0,1,Enrolled
1,7,9130,1,0,0,19,4,10.52,5,12.8,177.6,5.3,1.9,-1.03,0,1,Enrolled
1,12,9085,1,0,1,29,0,0,1,10.19,187.4,10.1,0.7,-0.71,1,0,Dropout
1,8,9254,1,0,0,18,2,11.12,1,10.68,109.3,8.4,0.7,0.5,1,0,Dropout
1,13,9130,1,0,1,28,1,12.67,2,10.92,128.9,6.7,0.9,1.75,1,0,Dropout
1,9,9070,1,0,1,20,0,0,1,12.75,122.3,9.5,1,-0.92,1,0,Dropout
1,10,9130,1,0,1,25,0,0,0,0,156.8,11.2,1.4,0.89,1,0,Dropout
1,17,9670,1,0,0,22,5,14.92,4,12.49,124.8,5.2,1.2,0.21,0,2,Graduate
2,9,9130,1,0,1,25,0,0,1,12.6,120.7,11.5,2.1,1.69,1,0,Dropout
2,5,9119,1,0,0,18,5,12.59,4,14.13,134.1,10.5,3.1,0.23,0,2,Graduate
1,11,9556,1,1,0,23,5,14.49,6,11.43,147.6,7,0.7,2.06,0,1,Enrolled
1,4,9070,1,1,1,28,3,10.29,2,11.66,139.2,6.3,0.8,-0.23,1,0,Dropout
1,1,9147,0,0,1,26,3,11.44,2,10.6,174.2,6.3,1.1,-0.27,1,0,Dropout
1,3,33,1,0,1,28,2,12.72,1,11.63,138.5,9.1,1.8,1.41,1,0,Dropout
1,13,9556,1,0,0,28,1,10.82,1,11.89,120.6,8.2,1.3,-1.47,1,0,Dropout
1,7,9003,0,0,1,23,0,0,2,12.65,144.1,11.1,1.5,0.7,1,0,Dropout
2,1,9670,1,0,0,23,4,12.65,5,13.59,106.2,10.7,1.4,-0.05,0,2,Graduate
1,4,33,1,0,0,22,5,14.53,6,10.56,148.7,8,1.2,-1.33,0,2,Graduate
1,9,9556,1,0,1,27,1,12.79,1,12.38,109.2,9.4,2.2,0.76,1,0,Dropout
1,14,9147,1,1,0,19,4,10.84,4,10.77,169.2,9.6,1.4,-1.44,0,2,Graduate
1,11,8014,1,1,0,23,5,11.67,5,15.81,185.5,11,2.4,-1.5,0,2,Graduate
1,8,9003,1,0,0,22,4,10.7,4,10.6,120.4,4.4,2.2,0.16,0,2,Graduate
1,14,9147,1,0,1,21,5,12.02,5,15.81,164.4,9.3,2.1,0.29,0,2,Graduate
1,3,9238,1,1,0,22,5,15.36,5,12.95,110,4.4,2.9,0.94,0,1,Enrolled
1,16,9147,1,0,0,20,6,11.44,4,15.75,123.7,11.3,2.1,2.29,0,2,Graduate
1,10,9070,1,0,0,23,4,10.81,6,11.69,133.5,5.8,1.5,0.92,0,2,Graduate
1,9,9773,1,0,0,18,5,13.58,4,11.46,135.6,5.8,1.5,-0.04,0,1,Enrolled
1,4,9070,1,1,0,18,6,15.2,4,14.17,182.9,11.5,2.5,-0.01,0,2,Graduate
1,4,9991,0,0,0,26,1,10.6,1,10.26,136.5,6.2,0.6,1.95,1,0,Dropout
1,18,9085,1,1,0,21,5,14.22,4,16.14,112.1,8.5,1.7,-0.28,0,2,Graduate
1,18,9238,1,0,1,19,0,0,1,10.36,164.3,11.4,2.5,1.07,1,0,Dropout
1,9,9254,0,0,1,29,3,10.89,1,10.26,162,9.5,0.5,0.2,1,0,Dropout
1,1,8014,1,0,0,20,4,12.42,6,10.85,174.7,4.3,1.6,-0.1,0,1,Enrolled
1,10,9853,1,1,1,19,3,10.2,1,11.4,149.8,6.1,0.8,1.54,1,0,Dropout
1,7,9003,1,0,0,20,6,13.46,5,12.89,103.9,5.9,3.1,-0.01,0,2,Graduate
1,7,9085,0,0,1,18,3,12.24,2,11.43,158.3,5.4,2,0.28,1,0,Dropout
1,15,9085,1,0,0,18,4,11.95,4,16.11,177,8.1,1.6,0.59,0,1,Enrolled
1,14,33,1,0,1,29,1,10.06,2,12.67,123.8,7.9,2.1,-1.41,1,0,Dropout
1,7,9991,1,0,0,27,0,0,2,10.86,162,3.9,3.2,2.08,1,0,Dropout
1,15,9853,1,0,1,19,6,11.23,4,14.97,102.7,6.5,2.7,-0.37,0,2,Graduate
1,3,9556,1,0,0,21,6,14.31,6,10.84,105.1,4.4,2.7,-0.68,0,2,Graduate
1,11,9085,1,1,0,18,4,16.48,4,12.83,167.7,6.5,2.8,1.33,0,2,Graduate
1,3,171,1,0,0,23,5,16.15,6,15.19,138.2,8.4,1.9,-0.77,0,2,Graduate
1,2,9991,0,1,0,19,3,11.86,2,11.63,165.6,5.6,1.1,1.15,1,0,Dropout
1,7,9130,1,1,0,23,4,13.91,6,15.03,113.3,4.6,1.7,-1.24,0,2,Graduate
1,9,171,1,0,0,20,4,13.9,6,15.57,122.2,5.8,0.5,0.9,0,2,Graduate
1,8,9085,0,0,1,19,1,12.61,0,0,169,4,1.4,1.68,1,0,Dropout
1,12,9853,0,0,1,24,3,11.29,2,10.79,117.8,7.9,1.8,-0.19,1,0,Dropout
2,2,9500,1,0,0,21,4,11.78,6,14.91,187.1,6.1,2.3,1.24,0,2,Graduate
1,4,9773,1,1,0,21,5,14.04,4,12.43,119.1,8.4,1.4,2.3,0,2,Graduate
1,13,9773,1,1,1,19,6,14.27,4,10.63,132.3,4.9,0.6,0.37,0,2,Graduate
1,11,9003,0,0,0,29,3,10.59,2,12.6,109.2,9.3,2,-0.34,1,0,Dropout
1,11,9254,1,0,0,19,4,16.74,4,16.56,158.3,9.8,3.3,0.35,0,2,Graduate
1,8,9147,1,1,1,21,5,15.24,4,11.02,121.4,8.1,0.8,1.74,0,1,Enrolled
1,6,9500,1,0,0,23,2,10.19,0,0,102.9,8.8,2.8,-1.58,1,0,Dropout
1,4,171,1,1,0,18,4,12.73,5,14.49,144.5,3.7,2.5,1.38,0,2,Graduate
1,17,171,1,0,0,21,6,16.59,5,12.15,160.7,8.8,3,1.24,0,2,Graduate
2,13,8014,1,1,0,21,5,11.9,6,13.08,140.8,7.6,1.2,-0.49,0,2,Graduate
1,6,9500,1,0,1,26,3,12.11,1,12.49,113.1,4.9,1.5,0.88,1,0,Dropout
1,2,9991,1,0,0,18,5,10.33,5,15.61,157.1,7.5,1,0.82,0,2,Graduate
1,4,9254,1,0,0,20,4,13.49,5,13.5,169.4,3.9,1.4,-0.43,0,2,Graduate
2,11,9500,0,0,0,24,0,0,1,10.88,115.9,3.7,1,-1.22,1,0,Dropout
1,5,8014,1,1,0,22,5,14.58,6,12.61,165.1,6.2,0.6,2.08,0,2,Graduate
1,11,9119,1,0,0,20,4,13.87,4,15.74,169.9,6.9,0.6,0.76,0,2,Graduate
1,10,9147,1,1,0,22,6,15.48,4,10.65,139.5,11.5,1.4,-1.45,0,2,Graduate
1,15,9254,1,0,0,22,5,16.36,5,13.14,126.1,4.2,3.1,0.12,0,1,Enrolled
1,6,9238,0,0,1,27,2,11.69,0,0,179.8,4.5,1.6,1.59,1,0,Dropout
2,17,9670,1,0,0,20,4,12.53,6,12.61,145.1,3.9,0.5,0.3,0,2,Graduate
1,8,9500,0,0,0,27,1,10.3,1,11.06,118.5,8.3,3,-1.51,1,0,Dropout
1,16,9070,1,0,0,22,5,13.57,5,10.81,127.3,7.7,1.6,0.89,0,2,Graduate
1,17,9147,1,1,0,18,5,14.85,4,15.42,115.9,8,1.8,-0.64,0,2,Graduate
1,18,9500,1,1,0,21,5,15.52,5,10.6,186.6,11.1,1.5,-0.5,0,1,Enrolled
1,4,9853,1,1,0,21,6,14.48,5,12.07,120.4,8.6,1.9,-1.12,0,2,Graduate
2,13,9003,1,0,0,23,6,12.27,5,12.54,130.8,6.2,1.1,1.77,0,1,Enrolled
1,7,171,1,1,0,22,5,15.88,4,14.88,133.3,7.2,2.5,1.27,0,2,Graduate
1,2,9070,0,0,1,28,3,12.19,0,0,164.9,8.2,3.2,1.88,1,0,Dropout
1,5,9070,1,0,0,23,4,13.36,6,16.52,175.9,10.5,3,0.12,0,1,Enrolled
1,4,9853,0,0,1,21,1,12.56,1,11.79,173.5,8,0.7,-1.66,1,0,Dropout
1,12,8014,1,0,0,20,1,12.84,2,11.49,172.5,6.2,2.9,2.02,1,0,Dropout
1,16,9119,1,0,0,22,6,13.59,4,13.36,154.2,9.4,2.9,0.39,0,1,Enrolled
1,3,9147,0,0,1,18,0,0,0,0,128.2,3.8,2,-0.22,1,0,Dropout
1,12,9670,1,0,0,22,1,12.01,1,11.56,180.2,3.9,1.7,0.73,1,0,Dropout
2,10,9003,1,1,0,22,6,11.92,4,10.28,143.4,10.2,2.4,-0.22,0,2,Graduate
1,11,8014,1,0,0,22,4,13.19,5,15.48,149,4.6,1.8,1.43,0,2,Graduate
1,8,9119,1,0,0,21,5,10.04,4,10.45,173.2,10.9,1,-0.54,0,1,Enrolled
1,2,171,1,0,0,22,6,15.52,4,16.35,126.4,7.6,2.8,1.35,0,1,Enrolled
2,3,9853,1,1,0,22,6,13.67,4,11.1,122.1,10,2.7,0.42,0,2,Graduate
1,16,33,0,0,0,25,3,10.86,2,12.76,144.2,3.9,3.2,1.99,1,0,Dropout
1,3,9556,1,0,0,23,4,16.26,6,12.17,174.1,8.1,0.9,-1.6,0,2,Graduate
1,17,9556,1,0,1,24,1,12.22,1,12.2,128.7,6.5,1.8,-0.04,1,0,Dropout
1,2,9085,0,0,1,20,1,12.71,2,12.5,140.6,4.8,1.9,-1.12,1,0,Dropout
1,13,9556,1,0,1,22,6,16.93,6,10.68,100.3,9.7,0.8,-1.02,0,2,Graduate
1,6,9500,0,0,1,20,1,12.46,0,0,161.7,6.3,3.3,-0.29,1,0,Dropout
1,2,9003,1,0,0,22,4,14.25,6,12.38,175.3,5.6,2.8,2.14,0,1,Enrolled
1,8,9070,1,0,0,22,2,10.69,2,11.68,152.2,5.6,2,-1.28,1,0,Dropout
1,11,9773,1,0,0,20,6,12.68,6,11.4,187.7,6.7,1.8,0.8,0,2,Graduate
2,2,8014,0,0,1,29,3,12.99,1,12.99,141.9,4.9,1.7,-0.55,1,0,Dropout
1,6,9119,1,0,1,24,3,12.02,0,0,150.3,10.2,2,0.28,1,0,Dropout
1,1,9670,1,1,1,28,3,11.89,2,10.26,101.9,4.1,0.5,1.53,1,0,Dropout
1,11,9238,1,0,0,29,2,11.58,1,12.38,124.8,6.3,0.5,-1.67,1,0,Dropout
1,17,9773,1,0,0,22,6,14.5,4,15.86,126.9,11,1.5,1.28,0,2,Graduate
1,14,33,1,1,0,20,6,13.81,4,13.49,146.9,4.3,3.1,0.47,0,2,Graduate
1,17,9147,1,0,0,22,4,13.78,6,15.73,137.7,7,0.9,1.94,0,2,Graduate
1,4,9119,1,1,0,21,4,14.67,4,15.66,151.7,8.1,2.7,-0.73,0,1,Enrolled
1,4,9130,1,0,0,20,5,12.34,5,13.13,144.8,8.2,1.2,0.6,0,2,Graduate
2,12,9085,1,0,0,23,5,13.21,4,16.2,107.5,5.2,1.1,0.21,0,1,Enrolled
1,14,9119,0,0,1,22,1,12.48,1,10.43,154.9,4,2.6,-0.88,1,0,Dropout
1,15,9119,1,0,1,18,3,11.36,1,10.84,179.9,7,1.5,-1.1,1,0,Dropout
1,5,9556,0,0,1,19,0,0,1,11.42,172.2,3.7,1.1,0.29,1,0,Dropout
1,5,9003,1,0,0,22,6,13.29,4,16.91,114.4,6,2.9,-0.37,0,2,Graduate
1,3,9003,1,1,0,21,4,15.05,6,15.73,188.6,9.2,0.9,0.54,0,1,Enrolled
1,5,9556,1,0,1,22,1,10.72,0,0,158.9,7.6,2.6,-1.01,1,0,Dropout
1,5,9130,1,0,0,20,6,16.96,5,14.59,140.1,9.3,2.4,-0.31,0,2,Graduate
2,6,8014,1,0,0,20,6,16.75,5,10.46,102.1,6.4,1.2,-1.6,0,1,Enrolled
1,8,9147,1,0,0,21,6,11.31,4,13.42,154.4,11,1.5,-0.71,0,1,Enrolled
1,12,33,1,0,0,21,4,15.28,5,16.25,127.4,9.7,2.9,1.95,0,2,Graduate
1,13,9670,1,0,0,19,5,13.35,4,14.9,164.7,8.1,1.1,0.33,0,1,Enrolled
1,12,9130,1,0,1,23,1,12.15,1,11.93,125.5,8.1,2.7,-1.18,1,0,Dropout
1,18,9238,0,0,1,25,3,12.84,0,0,162.8,10.7,1.1,-0.07,1,0,Dropout
1,15,9147,1,0,0,22,6,16.85,6,12.69,186,9,2.4,-0.25,0,2,Graduate
1,14,9130,0,0,1,20,0,0,2,10.32,166,4.1,2.1,-1.17,1,0,Dropout
1,8,9085,1,1,1,29,3,12.14,2,11.88,114.7,10.9,1.4,-0.19,1,0,Dropout
1,10,9991,1,0,1,22,1,12.94,1,11.41,122.7,8.2,1.1,-0.04,1,0,Dropout
1,13,9254,1,0,0,23,6,10.3,4,10.32,173.5,7.2,2.9,0.35,0,2,Graduate
1,11,9773,0,0,0,22,0,0,1,12.63,126.3,5.5,1,-0.81,1,0,Dropout
1,14,9130,1,0,0,19,5,12.76,6,11.78,154.6,8.1,2,-0.85,0,1,Enrolled
1,9,9130,1,0,0,19,5,15.85,5,10.81,157.2,5.6,1.3,2.29,0,2,Graduate
1,1,9238,1,1,0,23,6,15.92,5,11.13,127.9,8.6,1.2,-0.16,0,2,Graduate
1,4,9556,1,1,0,19,6,12.99,6,11.27,183.9,9.4,3.1,0.79,0,2,Graduate
1,7,8014,1,1,0,20,5,11.45,5,11.85,105.2,4.3,2.1,0.63,0,2,Graduate
1,14,9130,1,0,0,23,6,13.45,4,13.24,109,7.8,2,0.53,0,1,Enrolled
1,18,9147,1,1,0,22,5,13.97,5,15.22,130.6,11,1.1,-1.03,0,2,Graduate
1,16,9147,1,1,0,22,4,10.55,5,14.02,151.1,5.8,2.4,-0.75,0,2,Graduate
1,18,9853,1,0,0,23,4,16.82,4,15.31,125.6,7.9,2.2,0.59,0,1,Enrolled
1,12,9853,1,0,0,19,4,15.72,4,15.97,106.7,5.5,2.4,1.06,0,2,Graduate
2,12,9254,1,0,0,19,6,13.54,4,16.53,176,9.2,1.7,1.13,0,2,Graduate
1,13,33,1,0,0,18,4,15.35,4,16.06,102.6,5.4,3,0.69,0,2,Graduate
1,2,9853,1,0,1,21,4,14.88,6,11.44,159.7,11.1,3.1,2.04,0,2,Graduate
1,7,9991,1,1,0,21,4,13.95,5,15.43,151.6,4,3.4,1.98,0,2,Graduate
1,6,8014,1,0,0,18,5,16.31,4,11.72,102.5,10.3,3.3,-0.7,0,2,Graduate
1,3,9853,1,0,0,20,0,0,0,0,138.2,11.4,0.8,-1.48,1,0,Dropout
1,15,9147,0,0,1,26,2,10.03,2,11.37,117.6,10,0.9,-0.11,1,0,Dropout
1,13,9556,1,0,0,21,4,16.18,6,13.96,137,10.8,2.4,-0.54,0,2,Graduate
1,3,33,1,0,0,18,6,15.52,6,16.1,141.4,7.4,0.6,0.24,0,2,Graduate
1,5,33,1,0,0,18,5,14.52,6,13.35,131.2,5.3,3.2,1.38,0,2,Graduate
1,13,9254,1,1,0,18,5,14.24,4,10.21,129.4,6.4,1.4,-0.92,0,1,Enrolled
1,10,9670,0,0,1,21,2,12.37,0,0,117.6,9.1,0.4,0.03,1,0,Dropout
1,17,9853,1,1,0,19,6,12.24,5,12.73,184.5,3.8,3,-0.33,0,2,Graduate
2,9,9500,1,0,0,18,5,13.78,5,10.09,130.5,4.5,2.2,2.16,0,2,Graduate
2,15,8014,1,0,0,23,5,14.9,4,11.03,139.2,6.5,1.9,1.99,0,2,Graduate
1,16,9147,1,0,1,20,6,12.13,6,14.35,120.7,5.6,0.7,0.09,0,1,Enrolled
1,15,33,0,0,1,23,3,12.45,2,10.33,106.2,10.4,2.4,1.14,1,0,Dropout
1,5,9238,1,0,0,24,2,10.48,2,11.19,171.3,5.9,2.8,1.88,1,0,Dropout
1,11,9003,1,1,0,21,6,12.85,6,10.34,185.5,4.6,1.2,0.98,0,2,Graduate
1,6,8014,1,0,1,22,2,12.08,1,12.03,119,6.9,1.2,1.51,1,0,Dropout
1,1,171,1,0,0,19,4,14.17,4,16.97,170.2,4.4,2.2,1.25,0,2,Graduate
1,2,9070,1,0,0,20,4,14.2,4,12.37,110.2,8.6,3.3,-1.19,0,2,Graduate
1,12,9853,0,1,1,29,3,12.49,2,12.77,164.5,11.2,1.6,-1.36,1,0,Dropout
1,11,9238,1,1,1,28,2,10.77,2,10.72,136.6,5.3,0.7,0.47,1,0,Dropout
1,13,9853,1,0,0,26,3,10.11,2,11.92,172.6,9.5,2,0.37,1,0,Dropout
1,8,9254,1,0,1,25,2,11.95,1,12.77,124.7,11.2,2.1,0.44,1,0,Dropout
2,15,9853,1,0,0,23,6,16.4,5,11.27,139.4,6.2,1.9,-1.27,0,2,Graduate
1,4,9003,1,0,0,21,6,14.46,5,10.61,178,9.1,3,2.15,0,2,Graduate
1,14,9085,1,0,0,18,5,15.62,4,14.54,149.9,8.8,3.1,0.51,0,2,Graduate
1,5,9085,0,0,1,21,2,12.93,0,0,111.2,6.1,2.7,1.06,1,0,Dropout
2,5,9003,1,0,1,21,5,11.56,4,11.81,162.1,11.3,1.8,1.64,0,1,Enrolled
1,5,9119,1,0,0,23,4,15.31,6,16.95,104.4,5.3,2.7,-0.37,0,1,Enrolled
1,15,9556,1,1,1,21,0,0,0,0,157.3,9.5,2.5,1.02,1,0,Dropout
1,3,9254,1,1,0,23,4,13.59,6,13.14,177.1,7.6,1.4,-0.65,0,2,Graduate
1,15,9119,1,1,0,23,4,10.37,6,13.91,125.1,4.2,1.3,-1.33,0,2,Graduate
1,8,9119,1,0,0,20,5,10.62,6,14.69,116.6,8.5,0.6,1.67,0,2,Graduate
1,2,9773,1,0,0,22,6,12.95,4,11.18,174.8,7.9,1.1,1.73,0,2,Graduate
1,15,9991,1,1,0,19,4,10.07,4,11.56,187.3,3.6,3.1,-0.2,0,2,Graduate
1,9,9238,0,0,1,19,2,12.24,0,0,172.1,8.9,2.8,-0.12,1,0,Dropout
1,5,9147,1,1,1,20,2,12.33,2,11.47,147.1,10.8,1.7,-1.16,1,0,Dropout
1,2,9853,1,0,1,28,3,10.21,1,11.1,119.8,11,1.8,-0.4,1,0,Dropout
1,11,171,1,1,0,26,1,11.23,0,0,109.7,4.5,3,-0.97,1,0,Dropout
1,16,9147,1,0,0,21,5,14.34,5,11.67,120,4.3,2.2,-1.63,0,2,Graduate
1,17,9130,1,0,0,25,1,10.54,0,0,114.1,3.9,0.8,0.73,1,0,Dropout
1,8,9003,1,0,0,18,5,16.47,6,10.95,147.8,5.4,2.3,1.53,0,2,Graduate
1,7,9070,1,0,0,19,6,16.06,6,14.67,140.9,4.6,1.8,2.09,0,1,Enrolled
2,7,9085,1,0,0,19,6,14.21,5,11.49,118.2,9.4,2.1,0.05,0,1,Enrolled
1,13,9773,1,0,0,21,4,15.42,4,13.1,168.5,4.4,1.3,0.91,0,2,Graduate
1,4,9119,1,1,0,18,6,13.62,4,16.12,162.3,7,1.4,0.23,0,1,Enrolled
1,13,9070,1,1,0,18,1,12.75,0,0,180.9,4,3.2,0.64,1,0,Dropout
1,18,9670,1,0,0,19,6,10.57,5,11.46,156,3.8,0.7,1.02,0,2,Graduate
1,4,9500,1,1,0,22,5,11.57,6,14.85,187.7,8.2,2.5,1.28,0,2,Graduate
1,7,9119,1,0,0,19,5,14.26,4,12.05,168.7,10.3,3.3,0.45,0,1,Enrolled
1,17,9556,1,0,1,29,1,12.81,1,12.8,133,7.6,1.3,1.09,1,0,Dropout
1,17,9119,1,0,0,22,4,13.48,6,11.57,176.3,8.2,3.3,2.05,0,2,Graduate
1,6,9853,1,0,1,25,1,11.7,0,0,189.6,5.1,2,-1.46,1,0,Dropout
1,18,9773,1,1,0,21,6,14.27,5,10.6,173.2,4.2,3.2,0.12,0,1,Enrolled
1,3,33,1,0,0,19,4,10.97,6,16.31,180.4,10.2,1.3,1.98,0,2,Graduate
1,6,9085,1,0,1,21,2,11,0,0,167.3,9.6,2.7,-1.34,1,0,Dropout
1,9,171,1,0,0,19,6,11.19,5,16.03,122.2,11.2,0.9,-0.42,0,2,Graduate
1,7,9119,1,0,0,23,4,14.02,6,10.93,109.1,5.7,2.3,1.01,0,1,Enrolled
2,3,9500,0,1,1,23,0,0,2,11.69,187.6,9.6,2.7,1.08,1,0,Dropout
1,6,9238,1,1,0,20,6,15,5,15.31,150.5,4.4,2.3,-0.5,0,1,Enrolled
2,10,9254,1,0,1,21,3,12.87,0,0,151.3,9.8,3.3,1.87,1,0,Dropout
2,8,9070,1,0,0,20,6,12.75,6,15.52,160.5,8.8,1.2,-1.63,0,2,Graduate
1,4,9773,1,0,0,19,5,10.61,6,13.41,160.2,7,1.4,-1.58,0,1,Enrolled
1,10,9670,1,0,0,22,5,11.29,6,15.73,138.2,6.6,2.5,0.19,0,2,Graduate
1,9,9500,1,1,0,22,6,15.53,6,14.81,131.8,9.2,2,1.38,0,1,Enrolled
